index,symptom_name
0,剧烈活动后心悸
1,持续性上腹胀
2,舌尖，舌前半部自觉麻木感
3,视盘水肿
4,骨转移
5,1829
6,1个月
7,1月内
8,24h内
9,25小时内
10,2个以上关节积液
11,2个以上关节肿痛
12,2个关节积液
13,2个关节肿痛
14,2周以内出现2度以上肝性脑病
15,3个月内发作至少每周1次的腹痛
16,3患儿出现腹痛
17,4-羟基苯丙酮酸增高
18,4-羟基苯乙酸增高
19,46XX
20,46XY
21,4字征不能配合
22,4字征诱发痛
23,4羟基苯乳酸增高
24,50%～80%PSVT突然中止
25,5岁之后身高增加缓慢
26,6~8岁之后智力倒退
27,7岁前
28,8岁前第二性征发育
29,9岁前第二性征发育
30,<30g/L
31,<80次/min
32,<M-2SD以上骨质疏松症
33,<M-3SD以上
34,<M-3SD以上无骨折
35,>3.5g/L
36,>80ml
37,>90ml/min
38,>M-1SD正常
39,>一年
40,??角膜上皮剥脱
41,abinski征阳性
42,AFP升高
43,ALP增高
44,ARDS
45,ASMR
46,aVL
47,A型外斜
48,Babinski征
49,Babinski征(+)
50,Becker痣
51,Besnier冻疮样狼疮
52,Bockhart脓疱疮
53,Bowman膜不完整
54,Bowman膜缺如
55,Brown-Sequard综合征
56,Buerger征阳性
57,Busacca结节
58,B超未发现宫内妊娠
59,B超示宫腔无妊娠囊
60,B超示附件区可疑妊娠囊
61,C3神经根受压症状
62,C4神经根受压症状
63,C5神经根受压症状
64,C6神经根受压症状
65,C7神经根受压症状
66,C8神经根受压症状
67,Caplan综合征
68,Chaddock征
69,CK-MB升高
70,Cogan-Reese
71,CSF蛋白-细胞分离现象
72,CT
73,CT检查
74,C型歪鼻
75,Darier征
76,DIC
77,DIP过伸
78,Drawer征
79,Dugas征阳性
80,Fleischer环
81,GH增高
82,Gottron丘疹
83,Gowers征
84,Graham-Steell杂音
85,Graham-Steel杂音
86,grit艮球外突
87,harrison氏沟样凹陷
88,HB比容减低 血细胞比容减低
89,Horner综合征
90,III度颈部瘢痕挛缩
91,Janeway损害
92,Janeway斑
93,Kayser-Fleischer环
94,Khodadoust线
95,Koplik’s斑
96,koplik斑
97,L3-S1棘突及旁压痛叩击痛
98,L4/S1棘突压痛明显
99,Lhermite征
100,M-1～2SD骨量减少
101,M-2SD以上
102,M-2SD以上伴骨折
103,MRAR
104,MR增强
105,MSAR
106,MTHFR缺陷
107,Murphy征阳性
108,
109,Ober’s症
110,Ober试验
111,Osler小结
112,Osler结节
113,O型腿
114,O形腿
115,P-R间期延长
116,P2亢进
117,pagetoid样浸润
118,Parkinson综合征
119,PIP屈曲
120,PRL增高
121,Purtscher斑
122,Q-T间期延长
123,QRS波
124,Raynaud?s现象
125,RA有淋巴结肿大
126,RA有白细胞减少
127,RA有脾肿大
128,REM睡眠期行为障碍
129,Roth斑
130,R顶端粗钝不明显
131,S1减弱
132,Schaumann 良性淋巴肉芽肿
133,Schwalbe线明显增粗
134,Shift
135,S型歪鼻
136,S型眼睑下垂
137,TIA
138,Tinel症
139,Todd麻痹
140,Tuillo现象
141,T波改变
142,Uvulopalatoglossal斑点
143,V5~6导联q波
144,Velcro啰音
145,VHM
146,Vogt条纹
147,V、VI、VII、VIII对脑神经损伤
148,Waldeyer环
149,WBC升高
150,Wickham纹
151,X型腿
152,X形腿
153,“5P”征象
154,“二截尿”现象
155,“右肺下叶”低分化鳞状细胞癌
156,“女声男调”
157,“干性”关节炎
158,“气泡尿”
159,“碎瓷”样红色裂纹
160,“闪电样”死亡
161,“马蹄”内翻足畸形
162,Ⅰ
163,Ⅰ型面部皮肤软组织畸形与缺损
164,Ⅰ度颈部瘢痕挛缩
165,Ⅱ~Ⅳ级粗糙
166,Ⅱ型面部皮肤软组织畸形与缺损
167,Ⅱ度颈部瘢痕挛缩
168,Ⅱ～Ⅲ级
169,Ⅲ型面部皮肤软组织畸形与缺损
170,Ⅳ型面部皮肤软组织畸形与缺损
171,Ⅳ度颈部瘢痕挛缩
172,ⅤⅢ|Ⅲ和Ⅴ|滞留
173,≤30mmHg
174,≥1年
175,≥2
176,一个内分泌腺赠生
177,一个手指明显增大
178,一个肢端超过五个手指
179,一侧上下肢体不自主舞蹈样运动
180,一侧咽痛
181,一侧嗅觉丧失
182,一侧瞳孔散大
183,一侧磨牙为近中关系
184,一侧磨牙为远中关系
185,一侧肢体无力
186,一侧面肌抽搐
187,一侧面肌痉挛
188,一侧面部肌肉活动减弱
189,一侧面部肌肉活动消失
190,一侧面部肿胀
191,一侧面部阵发性疼痛
192,一侧面部阵发性麻木
193,一侧鼻塞
194,一只眼睛失明不久另一只也很快失明
195,一度房室传导阻滞
196,一度房室传导阻滞可无症状
197,一度房室传导阻滞第一心音减弱
198,一眼偏斜
199,一眼先中间偏斜
200,一眼向外偏斜
201,一眼向正前方注视时另一眼眼位向上偏斜
202,一眼向正前方注视时另一眼眼位向下偏斜
203,一眼向颞侧偏斜
204,一眼围绕其前后轴向颞侧
205,一眼想内偏斜
206,一眼正位时另一眼位偏斜
